Category,Search Name,Cadence,Boolean Query,Manual LinkedIn URL
"People","Current PhD Students - Drug Discovery","Daily","(""PhD student"" OR ""Doctoral student"" OR ""DPhil student"") AND (""medicinal chemistry"" OR ""drug discovery"" OR ""chemical biology"" OR ""computational chemistry"")","https://www.linkedin.com/search/results/people/?keywords=(%22PhD%20student%22%20OR%20%22Doctoral%20student%22%20OR%20%22DPhil%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22drug%20discovery%22%20OR%20%22chemical%20biology%22%20OR%20%22computational%20chemistry%22)&origin=GLOBAL_SEARCH_HEADER"
"People","Current PhD Students - Health Informatics","Daily","(""PhD student"" OR ""Doctoral student"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""biomedical informatics"")","https://www.linkedin.com/search/results/people/?keywords=(%22PhD%20student%22%20OR%20%22Doctoral%20student%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22biomedical%20informatics%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","University of Oxford - Drug Discovery","Twice weekly","(""University of Oxford"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""doctoral"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"" OR ""pharmaceutical sciences"")","https://www.linkedin.com/search/results/content/?keywords=(%22University%20of%20Oxford%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22%20OR%20%22pharmaceutical%20sciences%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","University of Oxford - Health Informatics","Twice weekly","(""University of Oxford"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"" OR ""medical AI"" OR ""biomedical informatics"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"" OR ""doctoral"")","https://www.linkedin.com/search/results/content/?keywords=(%22University%20of%20Oxford%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22%20OR%20%22medical%20AI%22%20OR%20%22biomedical%20informatics%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22%20OR%20%22doctoral%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","University of Cambridge - Drug Discovery","Twice weekly","(""University of Cambridge"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""doctoral"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"" OR ""pharmaceutical sciences"")","https://www.linkedin.com/search/results/content/?keywords=(%22University%20of%20Cambridge%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22%20OR%20%22pharmaceutical%20sciences%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","University of Cambridge - Health Informatics","Twice weekly","(""University of Cambridge"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"" OR ""medical AI"" OR ""biomedical informatics"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"" OR ""doctoral"")","https://www.linkedin.com/search/results/content/?keywords=(%22University%20of%20Cambridge%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22%20OR%20%22medical%20AI%22%20OR%20%22biomedical%20informatics%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22%20OR%20%22doctoral%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","University of Toronto - Drug Discovery","Twice weekly","(""University of Toronto"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""doctoral"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"" OR ""pharmaceutical sciences"")","https://www.linkedin.com/search/results/content/?keywords=(%22University%20of%20Toronto%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22%20OR%20%22pharmaceutical%20sciences%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","University of Toronto - Health Informatics","Twice weekly","(""University of Toronto"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"" OR ""medical AI"" OR ""biomedical informatics"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"" OR ""doctoral"")","https://www.linkedin.com/search/results/content/?keywords=(%22University%20of%20Toronto%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22%20OR%20%22medical%20AI%22%20OR%20%22biomedical%20informatics%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22%20OR%20%22doctoral%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","University of Michigan - Drug Discovery","Twice weekly","(""University of Michigan"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""doctoral"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"" OR ""pharmaceutical sciences"")","https://www.linkedin.com/search/results/content/?keywords=(%22University%20of%20Michigan%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22%20OR%20%22pharmaceutical%20sciences%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","University of Michigan - Health Informatics","Twice weekly","(""University of Michigan"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"" OR ""medical AI"" OR ""biomedical informatics"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"" OR ""doctoral"")","https://www.linkedin.com/search/results/content/?keywords=(%22University%20of%20Michigan%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22%20OR%20%22medical%20AI%22%20OR%20%22biomedical%20informatics%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22%20OR%20%22doctoral%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Seoul National University - Drug Discovery","Twice weekly","(""Seoul National University"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""doctoral"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"" OR ""pharmaceutical sciences"")","https://www.linkedin.com/search/results/content/?keywords=(%22Seoul%20National%20University%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22%20OR%20%22pharmaceutical%20sciences%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Seoul National University - Health Informatics","Twice weekly","(""Seoul National University"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"" OR ""medical AI"" OR ""biomedical informatics"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"" OR ""doctoral"")","https://www.linkedin.com/search/results/content/?keywords=(%22Seoul%20National%20University%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22%20OR%20%22medical%20AI%22%20OR%20%22biomedical%20informatics%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22%20OR%20%22doctoral%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","KAIST - Drug Discovery","Twice weekly","(""KAIST"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""doctoral"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"" OR ""pharmaceutical sciences"")","https://www.linkedin.com/search/results/content/?keywords=(%22KAIST%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22%20OR%20%22pharmaceutical%20sciences%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","KAIST - Health Informatics","Twice weekly","(""KAIST"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"" OR ""medical AI"" OR ""biomedical informatics"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"" OR ""doctoral"")","https://www.linkedin.com/search/results/content/?keywords=(%22KAIST%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22%20OR%20%22medical%20AI%22%20OR%20%22biomedical%20informatics%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22%20OR%20%22doctoral%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Yonsei University - Drug Discovery","Twice weekly","(""Yonsei University"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""doctoral"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"" OR ""pharmaceutical sciences"")","https://www.linkedin.com/search/results/content/?keywords=(%22Yonsei%20University%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22%20OR%20%22pharmaceutical%20sciences%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Yonsei University - Health Informatics","Twice weekly","(""Yonsei University"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"" OR ""medical AI"" OR ""biomedical informatics"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"" OR ""doctoral"")","https://www.linkedin.com/search/results/content/?keywords=(%22Yonsei%20University%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22%20OR%20%22medical%20AI%22%20OR%20%22biomedical%20informatics%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22%20OR%20%22doctoral%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Korea University - Drug Discovery","Twice weekly","(""Korea University"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""doctoral"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"" OR ""pharmaceutical sciences"")","https://www.linkedin.com/search/results/content/?keywords=(%22Korea%20University%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22%20OR%20%22pharmaceutical%20sciences%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Korea University - Health Informatics","Twice weekly","(""Korea University"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"" OR ""medical AI"" OR ""biomedical informatics"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"" OR ""doctoral"")","https://www.linkedin.com/search/results/content/?keywords=(%22Korea%20University%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22%20OR%20%22medical%20AI%22%20OR%20%22biomedical%20informatics%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22%20OR%20%22doctoral%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","POSTECH - Drug Discovery","Twice weekly","(""POSTECH"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""doctoral"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"" OR ""pharmaceutical sciences"")","https://www.linkedin.com/search/results/content/?keywords=(%22POSTECH%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22%20OR%20%22pharmaceutical%20sciences%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","POSTECH - Health Informatics","Twice weekly","(""POSTECH"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"" OR ""medical AI"" OR ""biomedical informatics"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"" OR ""doctoral"")","https://www.linkedin.com/search/results/content/?keywords=(%22POSTECH%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22%20OR%20%22medical%20AI%22%20OR%20%22biomedical%20informatics%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22%20OR%20%22doctoral%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Sungkyunkwan University - Drug Discovery","Twice weekly","(""Sungkyunkwan University"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""doctoral"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"" OR ""pharmaceutical sciences"")","https://www.linkedin.com/search/results/content/?keywords=(%22Sungkyunkwan%20University%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22%20OR%20%22pharmaceutical%20sciences%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Sungkyunkwan University - Health Informatics","Twice weekly","(""Sungkyunkwan University"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"" OR ""medical AI"" OR ""biomedical informatics"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"" OR ""doctoral"")","https://www.linkedin.com/search/results/content/?keywords=(%22Sungkyunkwan%20University%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22%20OR%20%22medical%20AI%22%20OR%20%22biomedical%20informatics%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22%20OR%20%22doctoral%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Hanyang University - Drug Discovery","Twice weekly","(""Hanyang University"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""doctoral"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"" OR ""pharmaceutical sciences"")","https://www.linkedin.com/search/results/content/?keywords=(%22Hanyang%20University%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22%20OR%20%22pharmaceutical%20sciences%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Hanyang University - Health Informatics","Twice weekly","(""Hanyang University"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"" OR ""medical AI"" OR ""biomedical informatics"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"" OR ""doctoral"")","https://www.linkedin.com/search/results/content/?keywords=(%22Hanyang%20University%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22%20OR%20%22medical%20AI%22%20OR%20%22biomedical%20informatics%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22%20OR%20%22doctoral%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Ulsan National Institute of Science and Technology - Drug Discovery","Twice weekly","(""Ulsan National Institute of Science and Technology"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""doctoral"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"" OR ""pharmaceutical sciences"")","https://www.linkedin.com/search/results/content/?keywords=(%22Ulsan%20National%20Institute%20of%20Science%20and%20Technology%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22%20OR%20%22pharmaceutical%20sciences%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Ulsan National Institute of Science and Technology - Health Informatics","Twice weekly","(""Ulsan National Institute of Science and Technology"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"" OR ""medical AI"" OR ""biomedical informatics"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"" OR ""doctoral"")","https://www.linkedin.com/search/results/content/?keywords=(%22Ulsan%20National%20Institute%20of%20Science%20and%20Technology%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22%20OR%20%22medical%20AI%22%20OR%20%22biomedical%20informatics%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22%20OR%20%22doctoral%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","GIST - Drug Discovery","Twice weekly","(""GIST"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""doctoral"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"" OR ""pharmaceutical sciences"")","https://www.linkedin.com/search/results/content/?keywords=(%22GIST%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22%20OR%20%22pharmaceutical%20sciences%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","GIST - Health Informatics","Twice weekly","(""GIST"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"" OR ""medical AI"" OR ""biomedical informatics"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"" OR ""doctoral"")","https://www.linkedin.com/search/results/content/?keywords=(%22GIST%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22%20OR%20%22medical%20AI%22%20OR%20%22biomedical%20informatics%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22%20OR%20%22doctoral%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Kyung Hee University - Drug Discovery","Twice weekly","(""Kyung Hee University"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""doctoral"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"" OR ""pharmaceutical sciences"")","https://www.linkedin.com/search/results/content/?keywords=(%22Kyung%20Hee%20University%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22%20OR%20%22pharmaceutical%20sciences%22)&origin=GLOBAL_SEARCH_HEADER"
