Category,Search Name,Cadence,Boolean Query,Manual LinkedIn URL
"People","Current PhD Students - Drug Discovery","Daily","(""PhD student"" OR ""Doctoral student"" OR ""DPhil student"") AND (""medicinal chemistry"" OR ""drug discovery"" OR ""chemical biology"" OR ""computational chemistry"")","https://www.linkedin.com/search/results/people/?keywords=(%22PhD%20student%22%20OR%20%22Doctoral%20student%22%20OR%20%22DPhil%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22drug%20discovery%22%20OR%20%22chemical%20biology%22%20OR%20%22computational%20chemistry%22)&origin=GLOBAL_SEARCH_HEADER"
"People","Current PhD Students - Health Informatics","Daily","(""PhD student"" OR ""Doctoral student"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""biomedical informatics"")","https://www.linkedin.com/search/results/people/?keywords=(%22PhD%20student%22%20OR%20%22Doctoral%20student%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22biomedical%20informatics%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","University of Oxford - Drug Discovery","Twice weekly","(""University of Oxford"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"")","https://www.linkedin.com/search/results/content/?keywords=(%22University%20of%20Oxford%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","University of Oxford - Health Informatics","Twice weekly","(""University of Oxford"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"")","https://www.linkedin.com/search/results/content/?keywords=(%22University%20of%20Oxford%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","University of Cambridge - Drug Discovery","Twice weekly","(""University of Cambridge"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"")","https://www.linkedin.com/search/results/content/?keywords=(%22University%20of%20Cambridge%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","University of Cambridge - Health Informatics","Twice weekly","(""University of Cambridge"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"")","https://www.linkedin.com/search/results/content/?keywords=(%22University%20of%20Cambridge%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","University of Toronto - Drug Discovery","Twice weekly","(""University of Toronto"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"")","https://www.linkedin.com/search/results/content/?keywords=(%22University%20of%20Toronto%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","University of Toronto - Health Informatics","Twice weekly","(""University of Toronto"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"")","https://www.linkedin.com/search/results/content/?keywords=(%22University%20of%20Toronto%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","University of Michigan - Drug Discovery","Twice weekly","(""University of Michigan"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"")","https://www.linkedin.com/search/results/content/?keywords=(%22University%20of%20Michigan%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","University of Michigan - Health Informatics","Twice weekly","(""University of Michigan"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"")","https://www.linkedin.com/search/results/content/?keywords=(%22University%20of%20Michigan%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22)&origin=GLOBAL_SEARCH_HEADER"
